a	A
hydantoin	hidantoin
hydatid	hidatid
hydra	ular naga
hydrangea	hydrangea
hydrangeas	bunga hidran
hydrant	hidran
hydrants	hidran
hydras	hydra
hydrastis	hidrastis
hydrate	hidrat
hydrated	terhidrasi
hydrates	hidrat
hydrating	menghidrasi
hydration	hidrasi
hydrator	hidrasi
hydraulic	hidrolik
hydraulically	secara hidrolik
hydraulics	hidrolika
hydrazine	hidrazin
hydrazines	hidrazin
hydria	hidrida
hydric	hidrik
hydride	hidrida
hydrides	hidrida
hydro	air
hydrocarbon	hidrokarbon
hydrocarbons	hidrokarbon
hydrocele	hidrokel
hydrocephalus	hidrosefalus
hydrochloric	asam klorida
hydrochloride	hidroklorida
hydrocortisone	hidrokortison
hydrodynamic	hidrodinamik
hydrodynamical	hidrodinamika
hydrodynamics	hidrodinamika
hydroelectric	tenaga air
hydroelectricity	tenaga air
hydrofluoric	hidrofluorik
hydrofoil	sayap hidrofoil
hydrofoils	sayap hidrodinamik
hydrogen	hidrogen
hydrogenated	terhidrogenasi
hydrogenation	hidrogenasi
hydrogeology	hidrogeologi
hydrograph	hidrograf
hydrographic	hidrografi
hydrography	hidrografi
hydroid	hidroid
hydroids	hidroid
hydrologic	hidrologi
hydrological	hidrologis
hydrologically	secara hidrologis
hydrologist	ahli hidrologi
hydrologists	ahli hidrologi
hydrology	hidrologi
hydrolysis	hidrolisis
hydrolytic	hidrolitik
hydrolyze	menghidrolisis
hydrolyzed	terhidrolisis
hydrolyzes	menghidrolisis
hydrolyzing	menghidrolisis
hydrometallurgy	hidrometalurgi
hydrometer	hidrometer
hydrometers	hidrometer
hydrometric	hidrometri
hydropathy	pengobatan air
hydrophilic	hidrofilik
hydrophobia	penyakit anjing gila
hydrophobic	hidrofobik
hydrophone	hidrofon
hydrophones	hidrofon
hydroplane	pesawat terbang air
hydroplaning	meluncur di atas air
hydroponic	hidroponik
hydroponically	hidroponik
hydroponics	hidroponik
hydropower	tenaga air
hydrops	hidrops
hydroquinone	hidrokuinon
hydrosol	hidrosol
hydrosphere	hidrosfer
hydrostatic	hidrostatik
hydrostatics	hidrostatis
hydrotherapy	hidroterapi
hydrothermal	hidrotermal
hydrous	berair
hydroxide	hidroksida
hydroxides	hidroksida
hydroxy	hidroksi
hydroxyl	hidroksil
hydroxylamine	hidroksilamin
hyena	dubuk
hyenas	hyena
hygiene	kebersihan
hygienic	higienis
hygienically	higienis
hygienist	ahli kesehatan
hygienists	ahli kesehatan
hygrometer	higrometer
hygrometers	higrometer
hygroscopic	hidroskopis
hyla	hyla
hymen	selaput dara
hymn	nyanyian pujian
hymnal	buku nyanyian pujian
hymnals	buku himne
hymnbook	buku nyanyian pujian
hymnody	himne
hymns	himne
hyoid	tulang hyoid
hyoscine	hyoscine
hyoscyamine	hiosiamin
hyoscyamus	hyoscyamus
hyp	hip
hype	promosi sensasional
hyped	dihebohkan
hyper	hiper
hyperactive	hiperaktif
hyperactivity	hiperaktivitas
hyperbaric	hiperbarik
hyperbola	hiperbola
hyperbole	hiperbola
hyperbolic	hiperbolis
hyperbolical	yg berlebihan
hyperboloid	hiperboloid
hypercritical	hiperkritis
hypercube	hiperkubus
hypercubes	hiperkubus
hyperemia	hiperemia
hyperesthesia	hiperestesia
hyperextension	hiperekstensi
hyperfine	sangat halus
hyperglycemia	hiperglikemia
hyperglycemic	hiperglikemik
hyperinflation	hiperinflasi
hyperkeratosis	hiperkeratosis
hyperlink	tautan
hyperlinked	tautan hiper
hyperlinking	tautan hiper
hyperlinks	tautan hiper
hypermarket	hypermarket
hypermarkets	hipermarket
hypermedia	hipermedia
hypermetropia	hipermetropia
hyperon	hiperon
hyperopia	rabun dekat
hyperopic	hiperopia
hyperostosis	hiperostosis
hyperparathyroidism	hiperparatiroidisme
hyperplane	bidang hiper
hyperplanes	bidang hiper
hyperplasia	hiperplasia
hyperpyrexia	hipertermia
hypersensitive	hipersensitif
hypersensitivity	hipersensitivitas
hypersonic	hipersonik
hyperspace	hiperruang
hypersthene	hiperstena
hypertension	hipertensi
hypertensive	hipertensi
hypertensives	penderita hipertensi
hypertext	hiperteks
hyperthermia	hipertermia
hyperthyroid	hipertiroid
hyperthyroidism	hipertiroidisme
hypertonic	hipertonik
hypertrophic	hipertrofik
hypertrophied	hipertrofi
hypertrophy	hipertrofi
hyperventilate	hiperventilasi
hyperventilating	hiperventilasi
hyperventilation	hiperventilasi
hypervisor	hipervisor
hypes	sensasi
hypha	hifa
hyphae	hifa
hyphen	tanda penghubung
hyphenate	yg ditulis dgn tanda penghubung
hyphenated	bergaris hubung
hyphenation	tanda hubung
hyphens	tanda hubung
hyping	menggembar-gemborkan
hypnosis	hipnose
hypnotherapist	hipnoterapis
hypnotherapists	hipnoterapis
hypnotherapy	hipnoterapi
hypnotic	hipnotis
hypnotically	secara hipnotis
hypnotics	obat penenang
hypnotism	hipnotisme
hypnotist	ahli hipnotisme
hypnotists	ahli hipnotis
hypnotize	menghipnotis
hypnotized	terhipnotis
hypnotizing	menghipnotis
hypo	hipo
hypoallergenic	hipoalergenik
hypocenter	hiposenter
hypochlorite	hipoklorit
hypochondria	hipokondria
hypochondriac	murung
hypochondriacal	hipokondriakal
hypochondriasis	hipokondriasis
hypocotyl	hipokotil
hypocrisies	kemunafikan
hypocrisy	kemunafikan
hypocrite	orang munafik
hypocrites	orang munafik
hypocritical	munafik
hypocritically	munafik
hypodermic	injeksi
hypodermically	secara subkutan
hypoglossal	hipoglossal
hypoglycaemia	hipoglikemia
hypoglycemia	hipoglikemia
hypoglycemic	hipoglikemik
hypolimnion	hipolimnion
hypomania	hipomania
hypophysis	hipofisis
hypopituitarism	hipopituitarisme
hypoplasia	hipoplasia
hypostases	hipostasis
hypostasis	hipostasis
hypotension	hipotensi
hypotenuse	sisi miring
hypoth	hipotesis
hypothalamic	hipotalamus
hypothalamus	hipotalamus
hypothecate	menggadaikan
hypothecated	dihipotekkan
hypothermia	hipotermia
hypothermic	hipotermik
hypotheses	hipotesis
hypothesis	hipotesa
hypothesize	mengadakan hipotesa
hypothesized	hipotesis
hypothesizes	berhipotesis
hypothesizing	berhipotesis
hypothetical	hipotetis
hypothetically	secara hipotetis
hypotheticals	hipotesis
hypothyroid	hipotiroid
hypothyroidism	hipotiroidisme
hypotonic	hipotonik
hypoxanthine	hipoxantin
hypoxia	hipoksia
hyrax	hyrax
hyson	hyson
hyssop	hisop
hysterectomies	histerektomi
hysterectomy	histerektomi
hysteresis	histeresis
hysteria	histeri
hysteric	histeris
hysterical	histeris
hysterically	histeris
hysterics	orang histeris
i	Saya
iamb	iambik
iambic	iambik
iatrogenic	iatrogenik
ib	ib
ibex	kambing gunung
ibid	ibid
ibidem	ibidem
ibis	ibis
ibises	burung ibis
ibuprofen	ibuprofen
ice	es
iceberg	gunung es
icebergs	gunung es
icebox	lemari es
icebreaker	kapal pemecah es
icebreakers	pemecah kebekuan
icebreaking	mencairkan suasana
icecap	es
icecaps	lapisan es
iced	es
icefall	air terjun es
icehouse	tempat simpangan es
iceman	tukang es
icepack	kantong es
icepick	alat pemecah es
ices	es krim
ichneumon	ichneumon
ichor	nanah
ichthyol	ichthyol
ichthyologists	ahli ikan
ichthyology	ilmu pengetahuan tentang ikan
ichthyosis	iktiosis
icicle	es batu
icicles	es batu
icily	dingin
icing	lapisan gula
icings	lapisan gula
icky	menjijikkan
icon	ikon
iconic	ikonik
iconicity	ikonitas
iconoclasm	ikonoklasme
iconoclast	ikonoklas
iconoclastic	ikonoklastik
iconoclasts	ikonoklas
iconographic	ikonografi
iconography	ikonografi
iconostasis	ikonostasis
icons	ikon
icosahedral	ikosahedral
icosahedron	ikosahedron
icterus	ikterus
ictus	tekanan ritmik
icy	dingin
id	pengenal
idea	ide
ideal	ideal
idealism	idealisme
idealist	idealis
idealistic	idealistis
idealists	kaum idealis
ideality	hal idealistis
idealization	idealisasi
idealizations	idealisasi
idealize	mengidealkan
idealized	idealisasi
idealizing	mengidealkan
ideally	idealnya
ideals	cita-cita
ideas	ide-ide
ideation	ideasi
ideational	ideologis
idem	idem
idempotent	idempoten
identical	identik
identically	identik
identifiable	dapat diidentifikasi
identifiably	dapat diidentifikasi
identification	identifikasi
identifications	identifikasi
identified	diidentifikasi
identifier	pengidentifikasi
identifiers	pengidentifikasi
identifies	mengidentifikasi
identify	mengenali
identifying	mengidentifikasi
identities	identitas
identity	identitas
ideogram	tulisan gambar
ideograms	ideogram
ideograph	tulisan gambar
ideographic	yg bersifat huruf gambar
ideographs	ideograf
ideological	ideologis
ideologically	secara ideologis
ideologies	ideologi
ideologists	ideolog
ideologue	ideolog
ideologues	ideolog
ideology	ideologi
ides	ides
idiocies	kebodohan
idiocy	kebodohan
idiographic	idiografis
idiom	idiom
idiomatic	idiomatis
idioms	idiom
idiopathic	idiopatik
idiosyncrasies	keanehan
idiosyncrasy	keistimewaan
idiosyncratic	idiosinkratik
idiot	idiot
idiotic	bodoh
idiotically	dengan bodohnya
idiots	orang bodoh
idle	menganggur
idled	menganggur
idleness	kemalasan
idler	pemalas
idlers	orang yang menganggur
idles	menganggur
idling	pemalasan
idly	dengan santai
idol	idola
idolater	pemuja
idolaters	penyembah berhala
idolatrous	musyrik
idolatry	pemujaan berhala
idolize	mendewakan
idolized	dipuja
idolizes	mengidolakan
idolizing	mengidolakan
idols	berhala
ids	id
idyll	idyll
idyllic	idilis
idylls	idyll
if	jika
iffy	meragukan
ifs	jika
igloo	rumah salju bangsa Eskimo
igloos	igloo
ign	ign
igneous	berapi
ignitable	mudah terbakar
ignite	menyalakan
ignited	menyala
igniter	alat penyala
igniters	penyala
ignites	menyala
igniting	menyalakan
ignition	pengapian
ignitions	penyalaan
ignoble	tercela
ignominious	memalukan
ignominiously	dengan memalukan
ignominy	aib
ignorable	dapat diabaikan
ignoramus	orang bebal
ignoramuses	orang bodoh
ignorance	ketidaktahuan
ignorant	kurang pengetahuan
ignorantly	dengan bodohnya
ignore	mengabaikan
ignored	diabaikan
ignores	mengabaikan
ignoring	mengabaikan
iguana	iguana
iguanas	iguana
iguanodon	iguanodon
ihram	ihram
ii	ii
iii	aku aku aku
ikebana	ikebana
ilea	Ilea
ileal	ileum
ileitis	ileitis
ileostomy	ileostomi
ileum	ileum
ileus	ileus
ilex	ilex
ilia	Ilia
iliac	iliaka
ilium	tulang pangkal paha
ilk	jenis
ill	sakit
illegal	liar
illegalities	ilegalitas
illegality	ketidaksahan
illegally	secara ilegal
illegals	imigran ilegal
illegible	tidak terbaca
illegitimacy	anak di luar nikah
illegitimate	haram
illegitimately	secara tidak sah
illiberal	picik
illicit	gelap
illicitly	secara ilegal
illimitable	tak terbatas
illiquid	tidak likuid
illiteracy	kebutahurufan
illiterate	buta huruf
illiterates	buta huruf
illness	penyakit
illnesses	penyakit
illocutionary	ilokusi
illogic	ketidaklogisan
illogical	tidak logis
illogically	tidak logis
ills	penyakit
illume	menerangi
illuminance	iluminasi
illuminant	penerangan
illuminants	penerangan
illuminate	menerangi
illuminated	diterangi
illuminates	menerangi
illuminati	Illuminati
illuminating	yg memperjelas
illumination	penerangan
illuminations	penerangan
illuminator	penerang
illumine	menerangi
illumined	diterangi
illumines	menerangi
illus	ilustrasi
illusion	ilusi
illusionary	ilusi
illusionism	ilusi
illusionist	pemain sulap
illusionistic	ilusionistik
illusionists	ilusionis
illusions	ilusi
illusive	ilusi
illusory	ilusi
illust	ilustrasi
illustrate	menjelaskan
illustrated	bergambar
illustrates	menggambarkan
illustrating	menggambarkan
illustration	ilustrasi
illustrations	ilustrasi
illustrative	ilustrasi
illustrator	ilustrator
illustrators	ilustrator
illustrious	terkemuka
ilmenite	ilmenit
image	gambar
imaged	digambar
imagery	perumpamaan
images	gambar
imaginable	yg ada
imaginal	imajiner
imaginary	imajiner
imagination	imajinasi
imaginations	imajinasi
imaginative	imajinatif
imaginatively	secara imajinatif
imagine	membayangkan
imagined	membayangkan
imagines	membayangkan
imaging	pencitraan
imagining	membayangkan
imaginings	imajinasi
imagism	citra
imagist	imagis
imagistic	gambar
imago	gambar
imam	imam
imamate	imamat
imams	imam
imbalance	ketidakseimbangan
imbalanced	tidak seimbang
imbalances	ketidakseimbangan
imbecile	dungu
imbeciles	orang idiot
imbecilic	idiot
imbecility	kebebalan
imbibe	menyerap
imbibed	diminum
imbibing	minum
imbibition	minum
imbricate	tumpang tindih
imbricated	tumpang tindih
imbroglio	keruwetan
imbue	mengilhami
imbued	diresapi
imbues	menanamkan
imbuing	menanamkan
imidazole	imidazol
imidazoles	imidazol
imide	imida
imine	imine
imit	imit
imitate	meniru
imitated	meniru
imitates	meniru
imitating	meniru
imitation	imitasi
imitations	tiruan
imitative	tiruan
imitator	peniru
imitators	peniru
immaculate	sangat rapi
immaculately	tanpa cela
immanence	immanensi
immanent	imanen
immaterial	tidak penting
immateriality	keabstrakan
immature	belum dewasa
immaturity	ketidakdewasaan
immeasurable	tak terukur
immeasurably	tak terukur
immediacy	kesegeraan
immediate	segera
immediately	langsung
immemorial	abadi
immense	sangat luas
immensely	sangat
immensity	luasnya
immerse	membenamkan
immersed	terendam
immerses	membenamkan
immersing	membenamkan
immersion	pencelupan
immersions	perendaman
immersive	melingkupi
immigrant	imigran
immigrants	imigran
immigrate	pindah
immigrated	berimigrasi
immigrating	berimigrasi
immigration	imigrasi
immigrations	imigrasi
imminence	kesegeraan
imminent	dekat
imminently	segera
immiscible	tidak dapat bercampur
immobile	tidak bergerak
immobility	imobilitas
immobilization	imobilisasi
immobilize	melumpuhkan
immobilized	diimobilisasi
immobilizer	immobilizer
immobilizing	melumpuhkan
immoderate	luar biasa
immoderately	berlebihan
immodest	tidak sopan
immodesty	ketidaksopanan
immolate	mengorbankan
immolated	dibakar
immolation	pengorbanan
immoral	asusila
immoralities	perbuatan amoral
immorality	kemaksiatan
immorally	secara tidak bermoral
immortal	kekal
immortality	keabadian
immortalize	mengabadikan
immortalized	diabadikan
immortals	abadi
immortelle	abadi
immovable	tak tergoyahkan
immovably	tak tergoyahkan
immune	imun
immunities	kekebalan
immunity	kekebalan
immunization	imunisasi
immunizations	imunisasi
immunize	mengebalkan
immunized	diimunisasi
immunizing	imunisasi
immunoassay	uji imunologi
immunochemistry	imunokimia
immunocompromised	imunokompromi
immunodeficiency	imunodefisiensi
immunodeficient	imunodefisiensi
immunogenetics	imunogenetika
immunogenic	imunogenik
immunoglobulin	imunoglobulin
immunoglobulins	imunoglobulin
immunologic	imunologis
immunological	imunologis
immunologically	secara imunologis
immunologist	ahli imunologi
immunologists	ahli imunologi
immunology	imunologi
immunosuppressant	imunosupresan
immunosuppressants	imunosupresan
immunosuppression	imunosupresi
immunosuppressive	imunosupresif
immunotherapy	imunoterapi
immured	dikurung
immutability	kekekalan
immutable	kekal
immutably	tak berubah
imp	imp
impact	dampak
impacted	terdampak
impacting	berdampak
impaction	impaksi
impacts	dampak
impair	merusak
impaired	terganggu
impairing	merusak
impairment	gangguan
impairments	gangguan
impairs	merusak
impala	impala
impalas	impala
impale	menusuk
impaled	tertusuk
impalement	penyulaan
impaler	penusuk
impaling	menusuk
impalpable	tak teraba
impaneled	membentuk panel
impart	memberi
imparted	diberikan
impartial	tidak memihak
impartiality	ketidakberpihakan
impartially	secara imparsial
imparting	memberikan
imparts	memberikan
impassable	tidak dapat dilewati
impasse	kebuntuan
impasses	jalan buntu
impassible	tidak dapat dilewati
impassion	menggelisahkan
impassioned	penuh semangat
impassive	tenang
impassively	tanpa ekspresi
impasto	impasto
impatience	ketidaksabaran
impatiens	impatiens
impatient	tidak sabar
impatiently	dengan tidak sabar
impeach	mendakwa
impeachable	dapat dimakzulkan
impeached	dimakzulkan
impeaching	pemakzulan
impeachment	pelengseran
impeachments	pemakzulan
impeccable	sempurna
impeccably	tanpa cela
impecunious	miskin
impedance	impedansi
impede	menghalangi
impeded	terhambat
impedes	menghambat
impediment	halangan
impedimenta	harta pasukan
impediments	hambatan
impeding	menghalangi
impel	mendorong
impelled	didorong
impeller	impeler
impellers	impeler
impelling	mendorong
impels	mendorong
impending	mendatang
impenetrability	ketidakmampuan untuk ditembus
impenetrable	tak tertembus
impenitent	tidak bertobat
imper	kekaisaran
imperative	imperatif
imperatively	sangat penting
imperatives	perintah
imperator	kaisar
imperceptible	tak kelihatan
imperceptibly	tak terlihat
imperf	tidak sempurna
imperfect	tidak sempurna
imperfection	ketidaksempurnaan
imperfections	ketidaksempurnaan
imperfective	tdk sempurna
imperfectly	tidak sempurna
imperfects	tidak sempurna
imperforate	tidak berlubang
imperial	imperial
imperialism	imperialisme
imperialist	imperialis
imperialistic	imperialistis
imperialists	kaum imperialis
imperials	kaum imperialis
imperil	membahayakan
imperiled	terancam
imperils	bahaya
imperious	angkuh
imperiously	dengan angkuh
imperishable	abadi
imperium	kekaisaran
impermanence	kefanaan
impermanent	tidak permanen
impermeability	kedap air
impermeable	kedap
impermissible	yg tdk diizinkan
impersonal	tidak personal
impersonality	sifat umum
impersonally	secara impersonal
impersonate	menirukan
impersonated	menyamar
impersonates	meniru
impersonating	menyamar
impersonation	peniruan
impersonations	peniruan
impersonator	peniru
impersonators	peniru
impertinence	kekurangajaran
impertinent	kurang ajar
imperturbable	tenang sekali
imperturbably	dengan tenang
impervious	tahan
imperviousness	kekedapan
impetigo	impetigo
impetuosity	ketidaksabaran
impetuous	terburu nafsu
impetuously	dengan tergesa-gesa
impetus	dorongan
impf	impf
impi	impi
impiety	ketiadaan rasa hormat
impinge	menimpa
impinged	terhimpit
impingement	tubrukan
impinger	impinger
impinges	benturan
impinging	menekan
impious	tak beriman
impish	nakal
implacable	kepala batu
implacably	tanpa ampun
implant	menanamkan
implantable	dapat ditanamkan
implantation	penanaman
implanted	ditanamkan
implanting	menanamkan
implants	implan
implausibility	ketidakmasukakalan
implausible	tidak masuk akal
implausibly	tidak masuk akal
implement	melaksanakan
implementable	dapat diimplementasikan
implementation	pelaksanaan
implementations	implementasi
implemented	diterapkan
implementer	pelaksana
implementers	pelaksana
implementing	menerapkan
implements	menerapkan
implicate	melibatkan
implicated	terlibat
implicates	melibatkan
implicating	melibatkan
implication	implikasi
implications	implikasi
implicit	implisit
implicitly	secara implisit
implied	tersirat
impliedly	tersirat
implies	menyiratkan
implode	meledak
imploded	meledak ke dalam
implodes	meledak ke dalam
imploding	meledak ke dalam
implore	mohon
implored	memohon
implores	memohon
imploring	memohon
imploringly	dgn memohon
implosion	ledakan ke dalam
implosions	ledakan ke dalam
imply	menyiratkan
implying	menyiratkan
impolicy	kekasaran
impolite	tidak sopan
impolitic	kasar
imponderable	yg tdk terbayangkan akibatnya
imponderables	hal-hal yang tidak dapat diukur
import	impor
importable	yg diimpor
importance	pentingnya
important	penting
importantly	penting
importation	pemasukan
importations	impor
imported	impor
importer	pengimpor
importers	importir
importing	pengimporan
imports	impor
importunate	mendesak
importune	mendesak
importuned	didesak
importunity	permintaan yg membosankan
imposable	dapat dikenakan
impose	memaksakan
imposed	dikenakan
